#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1000	675	1835275	1835275.0	141405	141405.0
1000	600	1835275	1835275.0	141313	141313.0
1000	450	1835275	1835275.0	95251	95251.0
1000	300	1835275	1835275.0	94278	94278.0
1000	150	1835275	1835275.0	94966	94966.0
1000	0	1835275	1835275.0	92782	92782.0
1000	650	1835275	1835275.0	140627	140627.0
1000	500	1835275	1835275.0	94659	94659.0
1000	350	1835275	1835275.0	95399	95399.0
1000	200	1835275	1835275.0	93913	93913.0
1000	50	1835275	1835275.0	91236	91236.0
1000	700	1835275	1835275.0	142407	142407.0
1000	625	1835275	1835275.0	141083	141083.0
1000	550	1835275	1835275.0	94885	94885.0
1000	400	1835275	1835275.0	93673	93673.0
1000	250	1835275	1835275.0	93699	93699.0
1000	100	1835275	1835275.0	93699	93699.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1050	600	1886863	1886863.0	96025	96025.0
1050	725	1886863	1886863.0	138185	138185.0
1050	750	1886863	1886863.0	143622	143622.0
1050	500	1886863	1886863.0	95704	95704.0
1050	250	1886863	1886863.0	95925	95925.0
1050	150	1886863	1886863.0	95658	95658.0
1050	675	1886863	1886863.0	137889	137889.0
1050	700	1886863	1886863.0	138522	138522.0
1050	450	1886863	1886863.0	95266	95266.0
1050	200	1886863	1886863.0	95699	95699.0
1050	350	1886863	1886863.0	90915	90915.0
1050	650	1886863	1886863.0	138107	138107.0
1050	775	1886863	1886863.0	142804	142804.0
1050	400	1886863	1886863.0	95930	95930.0
1050	550	1886863	1886863.0	95573	95573.0
1050	300	1886863	1886863.0	95663	95663.0
1050	50	1886863	1886863.0	95376	95376.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1075	850	1583664	1583664.0	144154	144154.0
1075	700	1583664	1583664.0	144221	144221.0
1050	800	1583664	1583664.0	143338	143338.0
1075	750	1583664	1583664.0	143637	143637.0
1075	825	1583664	1583664.0	143905	143905.0
1075	675	1583664	1583664.0	143917	143917.0
1075	775	1583664	1583664.0	144378	144378.0
1075	800	1583664	1583664.0	144242	144242.0
1075	650	1583664	1583664.0	143920	143920.0
1050	825	1583664	1583664.0	143674	143674.0
1075	725	1583664	1583664.0	144278	144278.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1100	725	1914606	1914606.0	144524	144524.0
1100	450	1914606	1914606.0	92720	92720.0
1100	500	1914606	1914606.0	96466	96466.0
1100	750	1914606	1914606.0	144712	144712.0
1100	0	1914606	1914606.0	96069	96069.0
1100	250	1914606	1914606.0	96560	96560.0
1100	775	1914606	1914606.0	144493	144493.0
1100	300	1914606	1914606.0	96354	96354.0
1100	550	1914606	1914606.0	95864	95864.0
1100	600	1914606	1914606.0	93189	93189.0
1100	50	1914606	1914606.0	96167	96167.0
1100	100	1914606	1914606.0	96367	96367.0
1100	350	1914606	1914606.0	96324	96324.0
1100	400	1914606	1914606.0	94452	94452.0
1100	650	1914606	1914606.0	96385	96385.0
1100	700	1914606	1914606.0	145150	145150.0
1100	150	1914606	1914606.0	92917	92917.0
1100	200	1914606	1914606.0	95893	95893.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1125	825	1880024	1880024.0	144802	144802.0
1125	900	1880024	1880024.0	145349	145349.0
1125	800	1880024	1880024.0	144980	144980.0
1100	800	1880024	1880024.0	144308	144308.0
1125	850	1880024	1880024.0	145030	145030.0
1125	775	1880024	1880024.0	144737	144737.0
1100	825	1880024	1880024.0	144899	144899.0
1125	750	1880024	1880024.0	142347	142347.0
1100	850	1880024	1880024.0	144450	144450.0
1125	875	1880024	1880024.0	144963	144963.0
1125	725	1880024	1880024.0	144776	144776.0
1100	875	1880024	1880024.0	144172	144172.0
1125	700	1880024	1880024.0	145211	145211.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1150	300	1893818	1893818.0	97151	97151.0
1150	250	1893818	1893818.0	97494	97494.0
1150	0	1893818	1893818.0	97077	97077.0
1150	750	1893818	1893818.0	145546	145546.0
1150	500	1893818	1893818.0	97189	97189.0
1150	450	1893818	1893818.0	97031	97031.0
1150	200	1893818	1893818.0	97079	97079.0
1150	800	1893818	1893818.0	145792	145792.0
1150	150	1893818	1893818.0	97398	97398.0
1150	700	1893818	1893818.0	97053	97053.0
1150	650	1893818	1893818.0	96616	96616.0
1150	400	1893818	1893818.0	97244	97244.0
1150	350	1893818	1893818.0	97377	97377.0
1150	100	1893818	1893818.0	96632	96632.0
1150	50	1893818	1893818.0	97285	97285.0
1150	775	1893818	1893818.0	145849	145849.0
1150	600	1893818	1893818.0	97055	97055.0
1150	550	1893818	1893818.0	96950	96950.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1175	900	1850594	1850594.0	146523	146523.0
1175	875	1850594	1850594.0	146238	146238.0
1175	925	1850594	1850594.0	146603	146603.0
1150	925	1850594	1850594.0	145613	145613.0
1150	875	1850594	1850594.0	145602	145602.0
1175	750	1850594	1850594.0	102091	102091.0
1175	800	1850594	1850594.0	140632	140632.0
1150	900	1850594	1850594.0	146104	146104.0
1150	825	1850594	1850594.0	145666	145666.0
1150	850	1850594	1850594.0	145907	145907.0
1175	775	1850594	1850594.0	146344	146344.0
1175	850	1850594	1850594.0	146786	146786.0
1175	825	1850594	1850594.0	146485	146485.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
1175	950	146387	146387.0	146387	146387.0
#mGo	mLSP	Total	TotGenW	CountsSMS	GenWeightSMS
