#mGo	mLSP	Total	Counts	genWeight
1200	550	1863259	98198	98198.000
1200	400	1863259	97804	97804.000
1200	650	1863259	98162	98162.000
1200	100	1863259	98021	98021.000
1200	350	1863259	98082	98082.000
1200	200	1863259	98320	98320.000
1200	450	1863259	98157	98157.000
1200	700	1863259	98042	98042.000
1200	150	1863259	98212	98212.000
1200	0	1863259	97913	97913.000
1200	250	1863259	98418	98418.000
1200	500	1863259	97825	97825.000
1200	825	1863259	147075	147075.000
1200	750	1863259	97646	97646.000
1200	600	1863259	98104	98104.000
1200	800	1863259	146894	146894.000
1200	50	1863259	98365	98365.000
1200	300	1863259	98021	98021.000
#mGo	mLSP	Total	Counts	genWeight
1500	1125	2101387	157926	157926.000
1500	100	2101387	105596	105596.000
1475	1100	2101387	157169	157169.000
1500	1150	2101387	158042	158042.000
1500	1200	2101387	157569	157569.000
1475	1175	2101387	156487	156487.000
1500	1175	2101387	158086	158086.000
1500	150	2101387	105413	105413.000
1475	1150	2101387	157221	157221.000
1500	1000	2101387	105062	105062.000
1500	1250	2101387	157720	157720.000
1500	0	2101387	105005	105005.000
1500	1050	2101387	105129	105129.000
1500	1100	2101387	158508	158508.000
1475	1125	2101387	156454	156454.000
#mGo	mLSP	Total	Counts	genWeight
1500	50	2102185	105270	105270.000
1500	900	2102185	104866	104866.000
1525	1125	2102185	158543	158543.000
1500	350	2102185	104944	104944.000
1500	400	2102185	105116	105116.000
1500	650	2102185	104995	104995.000
1500	700	2102185	105050	105050.000
1500	950	2102185	101741	101741.000
1500	200	2102185	104843	104843.000
1500	850	2102185	105242	105242.000
1500	450	2102185	105866	105866.000
1500	500	2102185	105075	105075.000
1500	750	2102185	105315	105315.000
1500	800	2102185	105642	105642.000
1500	250	2102185	105230	105230.000
1525	1100	2102185	158816	158816.000
1500	300	2102185	105046	105046.000
1500	550	2102185	105336	105336.000
1500	600	2102185	105249	105249.000
#mGo	mLSP	Total	Counts	genWeight
1950	1050	2340769	59241	59241.000
1950	1100	2340769	59434	59434.000
1950	1250	2340769	59391	59391.000
1950	150	2340769	59587	59587.000
1900	50	2340769	58433	58433.000
1900	350	2340769	58213	58213.000
1950	1150	2340769	59435	59435.000
1900	650	2340769	54378	54378.000
1900	950	2340769	54824	54824.000
1950	1350	2340769	59369	59369.000
1900	500	2340769	58544	58544.000
1950	0	2340769	58385	58385.000
1900	800	2340769	58400	58400.000
1950	450	2340769	59518	59518.000
1950	1000	2340769	56629	56629.000
1950	1450	2340769	59344	59344.000
1950	1200	2340769	59413	59413.000
1950	350	2340769	59342	59342.000
1950	100	2340769	59324	59324.000
1950	550	2340769	59319	59319.000
1900	450	2340769	58419	58419.000
1900	750	2340769	58627	58627.000
1950	1300	2340769	58897	58897.000
1900	300	2340769	54556	54556.000
1950	200	2340769	59470	59470.000
1900	600	2340769	58469	58469.000
1950	250	2340769	59164	59164.000
1950	400	2340769	59184	59184.000
1950	650	2340769	59304	59304.000
1950	500	2340769	59071	59071.000
1950	1400	2340769	59475	59475.000
1950	300	2340769	59225	59225.000
1900	700	2340769	58458	58458.000
1900	250	2340769	58471	58471.000
1900	550	2340769	54587	54587.000
1900	850	2340769	58740	58740.000
1900	900	2340769	59091	59091.000
1900	400	2340769	58345	58345.000
1950	50	2340769	59500	59500.000
1950	600	2340769	59193	59193.000
